ID,Station ID,Station Longitude,Station Latitude,Station Name,Station County,Atlanta
409,13057091009,-84.536975984375,34.12120499375,07 Atlanta Regional WIB,"Cherokee County, GA",1
410,13057091010,-84.54925763529411,34.127670423529416,07 Atlanta Regional WIB,"Cherokee County, GA",1
411,13057091011,-84.56019394583333,34.1075133875,07 Atlanta Regional WIB,"Cherokee County, GA",1
412,13057091012,-84.54429654761904,34.09703284047619,07 Atlanta Regional WIB,"Cherokee County, GA",1
413,13057091013,-84.5644548368421,34.0814162,07 Atlanta Regional WIB,"Cherokee County, GA",1
414,13057091014,-84.56959690769231,34.09379826153846,07 Atlanta Regional WIB,"Cherokee County, GA",1
415,13057091101,-84.6032123969697,34.14477740757576,07 Atlanta Regional WIB,"Cherokee County, GA",1
416,13057091104,-84.64105936056337,34.09839217183099,07 Atlanta Regional WIB,"Cherokee County, GA",1
417,13057091105,-84.58868289285714,34.104350954761905,07 Atlanta Regional WIB,"Cherokee County, GA",1
418,13057091106,-84.60430526818182,34.08851831590909,07 Atlanta Regional WIB,"Cherokee County, GA",1
419,13057091107,-84.61351803333334,34.107355133333336,07 Atlanta Regional WIB,"Cherokee County, GA",1
420,13057091108,-84.63533822222222,34.10772456666667,07 Atlanta Regional WIB,"Cherokee County, GA",1
456,13063040202,-84.41669870897435,33.61592022051282,07 Atlanta Regional WIB,"Clayton County, GA",1
457,13063040203,-84.45361166285714,33.60618289428571,07 Atlanta Regional WIB,"Clayton County, GA",1
458,13063040204,-84.44207902142857,33.606793842857144,07 Atlanta Regional WIB,"Clayton County, GA",1
459,13063040302,-84.37068937674418,33.631796220930234,07 Atlanta Regional WIB,"Clayton County, GA",1
460,13063040306,-84.38480358846154,33.604653007692306,07 Atlanta Regional WIB,"Clayton County, GA",1
461,13063040307,-84.36156616481482,33.59616689814815,07 Atlanta Regional WIB,"Clayton County, GA",1
462,13063040308,-84.37561708387096,33.62022488548387,07 Atlanta Regional WIB,"Clayton County, GA",1
463,13063040309,-84.3496191452381,33.64302703095238,07 Atlanta Regional WIB,"Clayton County, GA",1
464,13063040310,-84.35163509482759,33.62704409482758,07 Atlanta Regional WIB,"Clayton County, GA",1
465,13063040407,-84.33185164220184,33.60789046146789,07 Atlanta Regional WIB,"Clayton County, GA",1
466,13063040409,-84.3052164475,33.590235899999996,07 Atlanta Regional WIB,"Clayton County, GA",1
467,13063040410,-84.31301155964913,33.630741914912285,07 Atlanta Regional WIB,"Clayton County, GA",1
468,13063040414,-84.3725971137931,33.584486293103446,07 Atlanta Regional WIB,"Clayton County, GA",1
469,13063040416,-84.35439153939394,33.57874967121212,07 Atlanta Regional WIB,"Clayton County, GA",1
470,13063040417,-84.35833969117647,33.563430167647056,07 Atlanta Regional WIB,"Clayton County, GA",1
471,13063040418,-84.34225671481481,33.59300818888889,07 Atlanta Regional WIB,"Clayton County, GA",1
472,13063040419,-84.32770526842106,33.59012692236842,07 Atlanta Regional WIB,"Clayton County, GA",1
473,13063040420,-84.2763224,33.58909979733333,07 Atlanta Regional WIB,"Clayton County, GA",1
474,13063040421,-84.26800321176471,33.61044498529412,07 Atlanta Regional WIB,"Clayton County, GA",1
475,13063040422,-84.38213259999999,33.58560910909091,07 Atlanta Regional WIB,"Clayton County, GA",1
476,13063040423,-84.37503296129033,33.56401868064516,07 Atlanta Regional WIB,"Clayton County, GA",1
477,13063040424,-84.33525551290322,33.56532091935484,07 Atlanta Regional WIB,"Clayton County, GA",1
478,13063040425,-84.32190667246377,33.57649052608696,07 Atlanta Regional WIB,"Clayton County, GA",1
479,13063040426,-84.29597542142857,33.57546288571429,07 Atlanta Regional WIB,"Clayton County, GA",1
